Project,Station_Name,Station_Number,Latitude,Longitude,Sample_Code,Date,Date_Time,Result_DissNitrateNitrite,Result_DissNitrate,Detection_Condition_DissNitrateNitrite,Detection_Condition_DissNitrate,Reporting_Limit_DissNitrateNitrite,Reporting_Limit_DissNitrate,Units_DissNitrateNitrite,Units_DissNitrate,Method_DissNitrateNitrite,Method_DissNitrate
SWP Routine Monitoring,Castaic Dam Control Bldg.,CAS00000,34.5152,-118.6102,S1222B0423,2022-12-19,2022-12-19T18:00:00Z,0.69,2.79,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,D1222B0228,2022-12-19,2022-12-19T20:15:00Z,0.323,1.4,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,D1222B0232,2022-12-19,2022-12-19T21:15:00Z,0.246,1.07,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,S1222B0424,2022-12-20,2022-12-20T16:00:00Z,0.749,3.1,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,D1222B0224,2022-12-20,2022-12-20T16:00:00Z,0.4,1.72,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SL1222B0148,2022-12-20,2022-12-20T16:40:00Z,0.67,2.86,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,S1222B0442,2022-12-20,2022-12-20T17:00:00Z,0.368,1.63,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SL1222B0144,2022-12-20,2022-12-20T17:50:00Z,0.404,1.76,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SL1222B0143,2022-12-20,2022-12-20T18:00:00Z,0.111,0.479,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR1222B0181,2022-12-20,2022-12-20T18:10:00Z,0.079,0.321,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OR1222B0189,2022-12-20,2022-12-20T19:03:00Z,0.062,0.264,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Gianelli,ON003050,37.066456,-121.07219,SL1222B0142,2022-12-20,2022-12-20T19:15:00Z,0.395,1.72,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR1222B0183,2022-12-20,2022-12-20T19:18:00Z,0.077,0.302,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ1222B0345,2022-12-20,2022-12-20T19:48:00Z,1.56,6.47,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,D1222B0230,2022-12-20,2022-12-20T19:50:00Z,0.125,0.231,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR1222B0185,2022-12-20,2022-12-20T20:39:00Z,0.056,0.227,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville South Fork,OR007000,39.5356,-121.3596,OR1222B0187,2022-12-20,2022-12-20T21:26:00Z,0.074,0.276,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,S1222B0435,2022-12-21,2022-12-21T16:00:00Z,1.44,5.95,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,S1222B0448,2022-12-21,2022-12-21T17:20:00Z,0.482,2.06,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 66,KA040341,34.336,-117.3036,S1222B0447,2022-12-21,2022-12-21T19:10:00Z,0.872,3.53,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0123B0026,2023-01-03,2023-01-03T19:36:00Z,1.47,5.95,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR0123B0001,2023-01-05,2023-01-05T17:05:00Z,0.161,0.72,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR0123B0003,2023-01-05,2023-01-05T18:10:00Z,0.142,0.602,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR0123B0005,2023-01-05,2023-01-05T19:29:00Z,0.131,0.561,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,S0123B0001,2023-01-17,2023-01-17T16:00:00Z,0.938,3.9,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,S0123B0022,2023-01-17,2023-01-17T16:50:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SL0123B0007,2023-01-17,2023-01-17T17:25:00Z,1.33,5.4,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR0123B0010,2023-01-17,2023-01-17T17:57:00Z,0.241,1.03,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Dam Control Bldg.,CAS00000,34.5152,-118.6102,S0123B0002,2023-01-17,2023-01-17T18:00:00Z,1.03,4.25,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,D0123B0002,2023-01-17,2023-01-17T18:15:00Z,2.01,8.5,Detected,Detected,0.25,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR0123B0012,2023-01-17,2023-01-17T18:58:00Z,0.214,0.912,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OR0123B0018,2023-01-17,2023-01-17T19:17:00Z,0.094,0.383,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0123B0032,2023-01-17,2023-01-17T19:57:00Z,1.37,5.57,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SL0123B0012,2023-01-17,2023-01-17T20:05:00Z,1.43,6,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR0123B0014,2023-01-17,2023-01-17T20:30:00Z,0.227,0.952,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,D0123B0003,2023-01-17,2023-01-17T20:50:00Z,2.14,8.6,Detected,Detected,0.25,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville South Fork,OR007000,39.5356,-121.3596,OR0123B0016,2023-01-17,2023-01-17T21:10:00Z,0.247,1.1,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SL0123B0008,2023-01-17,2023-01-17T21:15:00Z,1.31,5.3,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,D0123B0005,2023-01-17,2023-01-17T21:50:00Z,1.02,4.1,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Gianelli,ON003050,37.066456,-121.07219,SL0123B0006,2023-01-17,2023-01-17T22:15:00Z,2.26,9.1,Detected,Detected,0.25,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,S0123B0014,2023-01-18,2023-01-18T16:00:00Z,1.38,5.25,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,D0123B0001,2023-01-18,2023-01-18T16:25:00Z,1.37,5.6,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,S0123B0019,2023-01-18,2023-01-18T17:30:00Z,0.496,2.03,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,D0123B0004,2023-01-18,2023-01-18T19:55:00Z,0.247,1.06,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 66,KA040341,34.336,-117.3036,S0123B0027,2023-01-19,2023-01-19T17:10:00Z,0.966,4.21,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,S0123B0028,2023-01-19,2023-01-19T17:30:00Z,0.526,2.2,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0223B0044,2023-02-07,2023-02-07T18:37:00Z,1.19,5.15,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,D0223B0007,2023-02-13,2023-02-13T17:55:00Z,1.59,6.77,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,D0223B0008,2023-02-13,2023-02-13T20:25:00Z,1.57,6.71,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SL0223B0020,2023-02-14,2023-02-14T16:45:00Z,1.34,5.7,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,D0223B0006,2023-02-14,2023-02-14T17:15:00Z,1.3,5.85,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR0223B0019,2023-02-14,2023-02-14T17:45:00Z,0.269,1.2,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SL0223B0019,2023-02-14,2023-02-14T18:00:00Z,0.478,2.1,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SL0223B0024,2023-02-14,2023-02-14T18:05:00Z,1.44,6.17,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR0223B0021,2023-02-14,2023-02-14T19:08:00Z,0.277,1.24,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,D0223B0009,2023-02-14,2023-02-14T20:05:00Z,0.181,0.802,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Gianelli,ON003050,37.066456,-121.07219,SL0223B0018,2023-02-14,2023-02-14T20:50:00Z,1.42,6,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR0223B0023,2023-02-14,2023-02-14T20:55:00Z,0.241,1.07,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OR0223B0027,2023-02-14,2023-02-14T21:18:00Z,0.054,0.236,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville South Fork,OR007000,39.5356,-121.3596,OR0223B0025,2023-02-14,2023-02-14T21:46:00Z,0.221,1,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Dam Control Bldg.,CAS00000,34.5152,-118.6102,S0223B0046,2023-02-21,2023-02-21T16:00:00Z,1,4.21,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,S0223B0032,2023-02-21,2023-02-21T17:00:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0223B0050,2023-02-21,2023-02-21T18:35:00Z,0.068,0.241,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,S0223B0035,2023-02-22,2023-02-22T15:45:00Z,0.504,2.06,Detected,Detected,0.05,0.6,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,S0223B0054,2023-02-22,2023-02-22T16:00:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Dam Control Bldg.,CAS00000,34.5152,-118.6102,S0323B0070,2023-03-14,2023-03-14T16:00:00Z,1.11,4.46,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,S0323B0065,2023-03-14,2023-03-14T16:00:00Z,0.99,3.98,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SL0323B0030,2023-03-14,2023-03-14T17:00:00Z,0.95,3.85,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SL0323B0028,2023-03-14,2023-03-14T18:00:00Z,0.938,3.84,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Gianelli,ON003050,37.066456,-121.07219,SL0323B0029,2023-03-14,2023-03-14T18:45:00Z,0.933,3.8,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SL0323B0034,2023-03-14,2023-03-14T21:10:00Z,1,4,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR0323B0028,2023-03-15,2023-03-15T17:00:00Z,0.31,1.3,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OR0323B0036,2023-03-15,2023-03-15T17:35:00Z,0.272,1.16,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,D0323B0022,2023-03-15,2023-03-15T17:40:00Z,0.94,3.77,Detected,Detected,0.05,0.3,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR0323B0030,2023-03-15,2023-03-15T18:00:00Z,0.277,1.15,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR0323B0032,2023-03-15,2023-03-15T18:57:00Z,0.262,1.12,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,D0323B0028,2023-03-15,2023-03-15T19:40:00Z,0.89,3.56,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville South Fork,OR007000,39.5356,-121.3596,OR0323B0034,2023-03-15,2023-03-15T19:47:00Z,0.163,0.675,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,D0323B0024,2023-03-15,2023-03-15T20:40:00Z,1.24,5.02,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,D0323B0020,2023-03-16,2023-03-16T15:25:00Z,0.746,3.08,Detected,Detected,0.05,0.3,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,D0323B0026,2023-03-16,2023-03-16T19:00:00Z,0.527,2.25,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,S0323B0085,2023-03-20,2023-03-20T17:55:00Z,0.563,2.38,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,S0323B0075,2023-03-21,2023-03-21T16:30:00Z,1.05,4.33,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0323B0062,2023-03-21,2023-03-21T19:35:00Z,1.08,4.34,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,S0323B0080,2023-03-22,2023-03-22T16:30:00Z,0.881,4.09,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,S0323B0071,2023-03-22,2023-03-22T18:00:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 66,KA040341,34.336,-117.3036,S0323B0086,2023-03-23,2023-03-23T19:00:00Z,0.898,3.79,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,S0323B0087,2023-03-23,2023-03-23T20:50:00Z,0.59,2.45,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,S0423B0091,2023-04-17,2023-04-17T16:00:00Z,0.494,2.02,Detected,Detected,0.05,1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,D0423B0040,2023-04-17,2023-04-17T16:45:00Z,0.095,0.382,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Dam Control Bldg.,CAS00000,34.5152,-118.6102,S0423B0092,2023-04-17,2023-04-17T18:00:00Z,1.09,4.52,Detected,Detected,0.05,0.75,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,D0423B0042,2023-04-17,2023-04-17T19:15:00Z,NA,0.194,Not Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,D0423B0046,2023-04-17,2023-04-17T20:30:00Z,0.535,2.32,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,D0423B0038,2023-04-18,2023-04-18T16:05:00Z,0.083,0.345,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OR0423B0037,2023-04-18,2023-04-18T16:15:00Z,0.137,0.578,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SL0423B0042,2023-04-18,2023-04-18T16:30:00Z,1.17,4.93,Detected,Detected,0.05,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville North Fork,OR005000,39.6743,-121.4758,OR0423B0039,2023-04-18,2023-04-18T17:00:00Z,0.115,0.473,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,S0423B0127,2023-04-18,2023-04-18T17:15:00Z,0.557,2.24,Detected,Detected,0.05,0.375,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,S0423B0114,2023-04-18,2023-04-18T17:15:00Z,NA,0.163,Not Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SL0423B0041,2023-04-18,2023-04-18T17:30:00Z,0.159,0.686,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OR0423B0045,2023-04-18,2023-04-18T17:48:00Z,0.175,0.739,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Middle Fork,OR006000,39.5667,-121.4022,OR0423B0041,2023-04-18,2023-04-18T18:30:00Z,NA,NA,Not Detected,Not Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SL0423B0046,2023-04-18,2023-04-18T18:45:00Z,0.172,0.699,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Teerink Pumping Plant,KA027813,35.0319,-119.0076,SJ0423B0066,2023-04-18,2023-04-18T18:54:00Z,0.236,1.03,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,D0423B0044,2023-04-18,2023-04-18T19:05:00Z,0.163,0.688,Detected,Detected,0.05,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
